,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
160,0.033,0.0204,0.026,0.75,0.3,3,0.45,0.1,1.2,0.075,40,1.1546,0.0359
161,0.033,0.034,0.078,0.75,0.3,3,0.45,0.1,1.2,0.075,24,0.797,0.0081
162,0.033,0.034,0.026,0.75,0.5,3,0.45,0.06,1.2,0.075,40,1.0159,0.0379
163,0.033,0.0204,0.026,0.75,0.5,3,0.45,0.02,2.0,0.075,40,0.9702,0.0356
164,0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,2.0,0.075,8,0.419,0.0218
165,0.099,0.034,0.026,0.75,0.1,3,0.45,0.02,2.0,0.075,40,1.2361,0.1669
166,0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,1.2,0.075,40,1.1328,0.0586
167,0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,2.0,0.075,24,0.9625,0.0478
168,0.033,0.034,0.026,0.75,0.1,9,0.45,0.02,2.0,0.075,40,1.2797,0.1395
169,0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,2.0,0.075,8,0.641,0.023
170,0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,1.2,0.075,24,0.9121,0.027
171,0.033,0.034,0.078,0.75,0.5,3,0.45,0.06,1.2,0.075,40,0.8766,0.0344
172,0.099,0.034,0.026,0.75,0.3,3,0.45,0.1,1.2,0.075,40,1.2551,0.1222
173,0.033,0.034,0.026,0.75,0.5,3,0.45,0.06,2.0,0.075,40,0.9949,0.0251
174,0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,1.2,0.075,40,0.9232,0.0233
175,0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,2.0,0.075,24,0.6725,0.0625
176,0.099,0.034,0.026,0.75,0.1,3,0.45,0.1,2.0,0.075,40,1.254,0.0509
177,0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,1.2,0.075,40,1.2481,0.0357
178,0.033,0.034,0.026,0.75,0.3,9,0.45,0.06,2.0,0.075,40,1.5358,0.0297
179,0.033,0.034,0.078,0.75,0.5,3,0.45,0.06,2.0,0.075,40,0.9695,0.0341
180,0.099,0.034,0.026,0.75,0.5,3,0.45,0.06,2.0,0.075,40,1.1003,0.0477
181,0.033,0.034,0.026,0.75,0.3,3,0.75,0.02,1.2,0.075,8,0.4122,0.0097
182,0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,0.4,0.075,24,0.3295,0.0073
183,0.033,0.034,0.026,0.75,0.1,3,0.75,0.1,1.2,0.075,8,0.4675,0.0089
184,0.033,0.034,0.026,0.75,0.1,3,0.75,0.1,0.4,0.075,24,0.7187,0.0342
185,0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2.0,0.075,8,0.3417,0.0067
186,0.033,0.034,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,8,0.2624,0.0612
187,0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40,0.5179,0.075
188,0.033,0.0068,0.026,0.75,0.5,3,0.75,0.02,2.0,0.075,24,0.3535,0.0385
189,0.033,0.0068,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,40,0.515,0.033
190,0.033,0.034,0.078,0.75,0.5,3,0.75,0.06,2.0,0.075,8,0.3387,0.0025
191,0.033,0.034,0.078,0.75,0.3,3,0.75,0.06,2.0,0.075,24,0.7057,0.038
192,0.033,0.034,0.026,0.45,0.5,3,0.75,0.02,2.0,0.075,40,0.4177,0.016
193,0.033,0.034,0.026,0.75,0.5,9,0.75,0.02,1.2,0.075,40,0.945,0.1295
194,0.033,0.034,0.026,0.75,0.1,9,0.75,0.02,2.0,0.075,40,1.3119,0.107
195,0.033,0.034,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,40,0.4674,0.0223
196,0.033,0.034,0.026,0.45,0.5,3,0.75,0.06,2.0,0.075,40,0.3242,0.053
197,0.033,0.034,0.026,0.75,0.3,9,0.75,0.1,1.2,0.075,40,1.2284,0.054
198,0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2.0,0.075,40,0.9331,0.0314
199,0.033,0.0204,0.026,0.75,0.5,3,0.75,0.1,2.0,0.075,40,0.5486,0.0081
200,0.033,0.034,0.026,0.75,0.5,9,0.75,0.1,2.0,0.075,40,0.9929,0.0278
201,0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.5446,0.0324
202,0.033,0.0204,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.8231,0.0548
203,0.165,0.0068,0.026,0.75,0.1,3,0.15,0.02,1.2,0.075,40,0.696,0.0259
204,0.099,0.0068,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,0.8911,0.0685
205,0.165,0.0068,0.026,0.45,0.1,9,0.15,0.02,1.2,0.075,40,0.6059,0.0771
206,0.165,0.0068,0.026,0.45,0.1,3,0.15,0.02,2.0,0.075,40,0.7122,0.1198
207,0.033,0.0068,0.026,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.4785,0.1135
208,0.033,0.034,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.5206,0.0296
209,0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,1.0372,0.0406
210,0.033,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,1.077,0.019
211,0.033,0.034,0.026,0.15,0.1,9,0.15,0.02,2.0,0.075,40,0.4469,0.0041
212,0.033,0.0068,0.026,0.45,0.1,15,0.15,0.02,2.0,0.075,40,0.9358,0.0434
213,0.033,0.0068,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.562,0.0762
214,0.165,0.0068,0.026,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.0892,0.0152
215,0.099,0.034,0.026,0.75,0.1,15,0.15,0.02,0.4,0.075,40,0.1394,0.0487
216,0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2.0,0.075,40,0.6124,0.0061
217,0.033,0.0204,0.078,0.75,0.1,15,0.15,0.06,0.4,0.075,40,0.2666,0.0608
218,0.165,0.0204,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.6021,0.0053
219,0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,0.7816,0.0223
220,0.033,0.0204,0.026,0.75,0.1,9,0.15,0.02,2.0,0.075,40,1.1268,0.0329
221,0.099,0.0068,0.026,0.45,0.1,9,0.15,0.06,2.0,0.075,40,0.8262,0.034
222,0.165,0.0204,0.026,0.75,0.1,9,0.15,0.1,0.4,0.075,40,0.8392,0.0189
223,0.099,0.0204,0.026,0.75,0.1,3,0.15,0.06,2.0,0.075,40,0.9347,0.0137
224,0.099,0.0068,0.026,0.45,0.1,15,0.15,0.02,2.0,0.075,40,0.9809,0.0189
225,0.099,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.2295,0.0446
226,0.033,0.0068,0.026,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.257,0.0468
227,0.099,0.0204,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.8441,0.0276
228,0.033,0.0068,0.026,0.75,0.1,15,0.15,0.06,1.2,0.225,40,0.3345,0.1634
229,0.165,0.0204,0.026,0.45,0.1,15,0.15,0.1,0.4,0.075,40,0.5861,0.0776
230,0.099,0.0068,0.026,0.75,0.3,9,0.15,0.02,2.0,0.075,40,1.3018,0.0885
231,0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2.0,0.075,40,1.4054,0.0751
232,0.033,0.0068,0.026,0.75,0.1,15,0.15,0.02,2.0,0.225,40,0.6706,0.1292
233,0.033,0.0068,0.026,0.45,0.1,15,0.15,0.1,2.0,0.075,40,0.9197,0.0717
234,0.033,0.034,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.602,0.1092
235,0.165,0.0068,0.026,0.75,0.3,15,0.15,0.02,1.2,0.075,40,1.1409,0.0209
236,0.099,0.034,0.026,0.75,0.1,15,0.15,0.1,0.4,0.075,40,0.1772,0.0596
237,0.033,0.0204,0.078,0.75,0.1,15,0.15,0.06,1.2,0.075,40,0.6463,0.08
238,0.165,0.0204,0.026,0.45,0.1,15,0.15,0.06,1.2,0.075,40,0.8124,0.0401
239,0.033,0.034,0.026,0.15,0.1,15,0.15,0.06,2.0,0.075,40,0.5921,0.0256
240,0.165,0.0068,0.078,0.75,0.1,15,0.15,0.1,0.4,0.075,40,0.1395,0.1042
241,0.099,0.034,0.026,0.75,0.1,9,0.15,0.02,2.0,0.075,40,1.0773,0.0484
242,0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.0691,0.0224
243,0.033,0.0204,0.026,0.75,0.1,9,0.15,0.1,2.0,0.075,40,1.0541,0.0585
244,0.099,0.0068,0.078,0.75,0.1,9,0.15,0.06,2.0,0.075,40,1.0179,0.0364
